timestamp,noise_sensor1,noise_sensor2,noise_sensor3,noise_sensor4,noise_sensor5,noise_sensor6,noise_sensor7,noise_sensor8,noise_sensor9,noise_sensor10
2026-04-02T14:25:13.996971,69,59,115,37,91,56,130,92,47,100
2026-04-02T14:25:23.996971,88,58,85,114,46,72,57,87,93,38
2026-04-02T14:25:33.996971,80,127,81,60,43,88,89,76,104,70
2026-04-02T14:25:43.996971,99,32,33,56,119,130,46,74,82,61
2026-04-02T14:25:53.996971,61,65,50,123,44,126,36,32,120,123
2026-04-02T14:26:03.996971,117,88,99,88,89,39,48,108,44,91
2026-04-02T14:26:13.996971,103,63,91,43,37,59,110,45,31,82
2026-04-02T14:26:23.996971,109,60,57,33,40,88,40,103,42,85
2026-04-02T14:26:33.996971,104,112,89,68,48,82,78,103,106,78
2026-04-02T14:26:43.996971,123,66,117,104,51,43,39,101,93,44
2026-04-02T14:26:53.996971,78,65,56,109,36,103,66,86,40,88
2026-04-02T14:27:03.996971,66,43,127,52,60,101,98,120,115,68
2026-04-02T14:27:13.996971,66,54,99,83,91,90,110,100,72,98
2026-04-02T14:27:23.996971,76,88,116,74,117,69,60,121,122,51
2026-04-02T14:27:33.996971,77,113,73,103,109,63,91,57,54,123
2026-04-02T14:27:43.996971,127,86,54,112,80,105,102,99,109,116
2026-04-02T14:27:53.996971,127,53,91,82,108,32,39,77,113,123
2026-04-02T14:28:03.996971,45,84,104,95,52,49,80,104,50,108
2026-04-02T14:28:13.996971,122,104,45,125,82,54,48,121,105,74
2026-04-02T14:28:23.996971,125,52,129,97,36,48,128,126,127,129
2026-04-02T14:28:33.996971,94,85,98,128,62,32,51,80,90,32
2026-04-02T14:28:43.996971,111,58,67,116,53,59,66,128,90,84
2026-04-02T14:28:53.996971,100,118,45,117,95,89,126,50,130,90
2026-04-02T14:29:03.996971,119,123,86,46,86,70,89,55,126,98
2026-04-02T14:29:13.996971,89,53,89,87,35,110,52,50,96,114
2026-04-02T14:29:23.996971,105,47,69,65,107,108,128,56,95,123
2026-04-02T14:29:33.996971,84,88,75,46,85,94,37,75,59,112
2026-04-02T14:29:43.996971,94,34,123,64,98,58,88,127,72,92
2026-04-02T14:29:53.996971,45,102,81,56,83,58,55,39,61,80
2026-04-02T14:30:03.996971,60,34,99,113,47,68,36,50,58,75
2026-04-02T14:30:13.996971,43,102,72,76,126,66,125,35,56,54
2026-04-02T14:30:23.996971,119,127,80,53,42,42,45,97,73,88
2026-04-02T14:30:33.996971,74,59,95,79,41,83,76,118,61,74
2026-04-02T14:30:43.996971,97,115,70,33,56,103,42,117,116,125
2026-04-02T14:30:53.996971,55,79,55,104,31,68,116,75,58,32
2026-04-02T14:31:03.996971,41,101,39,116,70,68,75,70,124,109
2026-04-02T14:31:13.996971,102,130,61,105,51,113,57,78,121,77
2026-04-02T14:31:23.996971,88,92,97,107,68,49,48,41,34,91
2026-04-02T14:31:33.996971,110,124,39,109,105,45,108,74,34,41
2026-04-02T14:31:43.996971,111,81,119,93,63,118,117,107,45,73
2026-04-02T14:31:53.996971,91,99,124,75,103,128,37,69,111,42
2026-04-02T14:32:03.996971,129,100,91,86,32,53,101,103,119,34
2026-04-02T14:32:13.996971,129,110,67,73,47,33,55,35,64,119
2026-04-02T14:32:23.996971,106,62,96,114,120,110,77,124,66,122
2026-04-02T14:32:33.996971,43,85,34,50,78,93,112,99,129,75
2026-04-02T14:32:43.996971,59,38,122,120,113,119,92,110,125,39
2026-04-02T14:32:53.996971,76,79,90,68,92,82,118,49,68,82
2026-04-02T14:33:03.996971,113,41,54,92,104,98,54,102,44,72
2026-04-02T14:33:13.996971,116,88,111,46,104,123,58,62,75,35
2026-04-02T14:33:23.996971,119,47,33,86,101,77,80,117,66,50
2026-04-02T14:33:33.996971,56,45,112,118,69,98,130,122,47,75
2026-04-02T14:33:43.996971,91,60,36,120,109,100,37,47,108,52
2026-04-02T14:33:53.996971,43,64,48,119,86,48,90,84,67,130
2026-04-02T14:34:03.996971,117,33,61,67,127,76,36,110,45,37
2026-04-02T14:34:13.996971,94,52,91,110,49,42,77,52,104,34
2026-04-02T14:34:23.996971,79,79,124,120,94,40,75,113,64,63
2026-04-02T14:34:33.996971,83,76,103,79,61,34,34,93,62,130
2026-04-02T14:34:43.996971,67,81,69,52,98,30,52,50,59,61
2026-04-02T14:34:53.996971,80,106,99,47,44,107,102,35,73,124
2026-04-02T14:35:03.996971,46,122,75,102,56,86,94,128,72,48
2026-04-02T14:35:13.996971,38,117,111,47,71,93,105,108,90,45
2026-04-02T14:35:23.996971,112,69,43,119,49,115,45,88,127,40
2026-04-02T14:35:33.996971,72,31,121,89,93,54,64,127,83,108
2026-04-02T14:35:43.996971,113,66,113,55,112,78,50,111,66,125
2026-04-02T14:35:53.996971,37,99,67,33,121,88,67,107,92,97
